t,X,Y
0.016666666666666666,472,730
0.03333333333333333,472,730
0.05,472,730
0.06666666666666667,472,730
0.08333333333333333,472,730
0.1,472,730
0.11666666666666667,472,730
0.13333333333333333,472,730
0.15,472,730
0.16666666666666666,472,730
0.18333333333333332,472,730
0.2,472,730
0.21666666666666667,472,730
0.23333333333333334,472,730
0.25,472,730
0.26666666666666666,472,730
0.2833333333333333,472,729
0.3,472,736
0.31666666666666665,472,737
0.3333333333333333,472,743
0.35,472,750
0.36666666666666664,472,759
0.3833333333333333,473,767
0.4,472,770
0.4166666666666667,479,786
0.43333333333333335,480,800
0.45,481,811
0.4666666666666667,488,827
0.48333333333333334,488,827
0.5,488,851
0.5166666666666666,499,876
0.5333333333333333,504,891
0.55,512,908
0.5666666666666667,517,919
0.5833333333333334,532,949
0.6,543,968
0.6166666666666667,558,991
0.6333333333333333,575,1008
0.65,581,1015
0.6666666666666666,608,1048
0.6833333333333333,616,1060
0.7,648,1087
0.7166666666666667,657,1094
0.7333333333333333,680,1111
0.75,695,1119
0.7666666666666666,729,1143
0.7833333333333333,758,1158
0.8,787,1164
0.8166666666666667,813,1175
0.8333333333333334,843,1181
0.85,890,1189
0.8666666666666667,906,1192
0.8833333333333333,936,1193
0.9,979,1193
0.9166666666666666,1011,1191
0.9333333333333333,1035,1185
0.95,1064,1176
0.9666666666666667,1095,1171
0.9833333333333333,1106,1168
1.0,1131,1155
1.0166666666666666,1154,1148
1.0333333333333332,1178,1135
1.05,1201,1121
1.0666666666666667,1231,1101
1.0833333333333333,1239,1096
1.1,1256,1081
1.1166666666666667,1279,1060
1.1333333333333333,1290,1047
1.15,1304,1032
1.1666666666666667,1308,1026
1.1833333333333333,1318,1013
1.2,1329,1000
1.2166666666666666,1338,990
1.2333333333333334,1344,978
1.25,1352,968
1.2666666666666666,1361,956
1.2833333333333332,1362,952
1.3,1368,944
1.3166666666666667,1368,936
1.3333333333333333,1370,932
1.35,1375,927
1.3666666666666667,1376,922
1.3833333333333333,1374,920
1.4,1374,920
1.4166666666666667,1374,920
1.4333333333333333,1375,921
1.45,1374,925
1.4666666666666666,1374,927
1.4833333333333334,1370,932
1.5,1367,940
1.5166666666666666,1367,944
1.5333333333333332,1361,950
1.55,1360,957
1.5666666666666667,1352,968
1.5833333333333333,1344,980
1.6,1334,990
1.6166666666666667,1327,1001
1.6333333333333333,1324,1010
1.65,1312,1020
1.6666666666666667,1298,1038
1.6833333333333333,1288,1048
1.7,1281,1056
1.7166666666666666,1263,1072
1.7333333333333334,1248,1083
1.75,1238,1095
1.7666666666666666,1222,1102
1.7833333333333332,1197,1122
1.8,1176,1135
1.8166666666666667,1158,1144
1.8333333333333333,1140,1150
1.8499999999999999,1119,1162
1.8666666666666667,1096,1168
1.8833333333333333,1075,1176
1.9,1049,1181
1.9166666666666667,1041,1184
1.9333333333333333,1006,1188
1.95,991,1192
1.9666666666666666,973,1194
1.9833333333333334,948,1192
2.0,910,1192
2.0166666666666666,891,1192
2.033333333333333,879,1191
2.05,857,1185
2.0666666666666664,836,1180
2.0833333333333335,803,1170
2.1,796,1170
2.1166666666666667,770,1158
2.1333333333333333,758,1153
2.15,741,1147
2.1666666666666665,718,1134
2.183333333333333,704,1128
2.2,690,1117
2.216666666666667,684,1113
2.2333333333333334,672,1106
2.25,655,1093
2.2666666666666666,648,1088
2.283333333333333,640,1080
2.3,631,1073
2.3166666666666664,625,1066
2.3333333333333335,616,1057
2.35,610,1052
2.3666666666666667,607,1046
2.3833333333333333,600,1044
2.4,598,1040
2.4166666666666665,594,1036
2.433333333333333,591,1035
2.45,592,1033
2.466666666666667,590,1031
2.4833333333333334,590,1032
2.5,589,1031
2.5166666666666666,591,1033
2.533333333333333,593,1037
2.55,595,1040
2.5666666666666664,600,1042
2.5833333333333335,602,1043
2.6,608,1050
2.6166666666666667,612,1056
2.6333333333333333,618,1063
2.65,625,1070
2.6666666666666665,632,1076
2.683333333333333,632,1076
2.7,645,1086
2.716666666666667,654,1093
2.7333333333333334,664,1099
2.75,676,1106
2.7666666666666666,686,1115
2.783333333333333,696,1124
2.8,704,1127
2.8166666666666664,717,1134
2.8333333333333335,730,1142
2.85,745,1148
2.8666666666666667,761,1153
2.8833333333333333,783,1164
2.9,800,1170
2.9166666666666665,808,1171
2.933333333333333,825,1176
2.95,842,1183
2.966666666666667,860,1184
2.9833333333333334,879,1188
3.0,906,1192
3.0166666666666666,917,1192
3.033333333333333,934,1193
3.05,949,1193
3.0666666666666664,974,1193
3.0833333333333335,985,1191
3.1,1000,1190
3.1166666666666667,1016,1189
3.1333333333333333,1036,1183
3.15,1059,1181
3.1666666666666665,1074,1176
3.183333333333333,1089,1170
3.2,1094,1169
3.216666666666667,1109,1165
3.2333333333333334,1123,1160
3.25,1141,1150
3.2666666666666666,1151,1147
3.283333333333333,1162,1141
3.3,1165,1137
3.3166666666666664,1176,1133
3.3333333333333335,1184,1129
3.35,1191,1124
3.3666666666666667,1205,1117
3.3833333333333333,1206,1117
3.4,1211,1112
3.4166666666666665,1218,1109
3.433333333333333,1222,1105
3.4499999999999997,1230,1100
3.466666666666667,1231,1100
3.4833333333333334,1231,1100
3.5,1231,1095
3.5166666666666666,1235,1096
