#Perturbations,#Incorrect relationship mean,#Incorrect relationship std,#Incorrect gen relationship mean,#Incorrect gen relationship std,Noise Level
1,48.75,0.4330127018922193,9.75,0.4330127018922193,0.01
6,38.25,1.479019945774904,0.75,0.4330127018922193,0.01
11,33.25,3.031088913245535,0.25,0.4330127018922193,0.01
16,33.75,4.493050188902857,0.5,0.5,0.01
21,27.75,3.832427429188973,0.0,0.0,0.01
26,26.0,3.6742346141747673,0.0,0.0,0.01
31,24.25,4.02336923485777,0.0,0.0,0.01
36,21.0,4.898979485566356,0.0,0.0,0.01
41,19.75,3.344772040064913,0.0,0.0,0.01
46,18.75,3.344772040064913,0.0,0.0,0.01
51,17.75,2.947456530637899,0.0,0.0,0.01
56,16.75,2.5860201081971503,0.0,0.0,0.01
61,15.25,2.48746859276655,0.0,0.0,0.01
66,13.75,1.299038105676658,0.0,0.0,0.01
71,11.75,0.82915619758885,0.0,0.0,0.01
76,11.75,0.82915619758885,0.0,0.0,0.01
81,10.5,2.0615528128088303,0.0,0.0,0.01
86,10.5,1.118033988749895,0.0,0.0,0.01
91,10.25,1.479019945774904,0.0,0.0,0.01
96,9.75,1.479019945774904,0.0,0.0,0.01
100,8.75,0.4330127018922193,0.0,0.0,0.01
