A,B,E1,AE1
8.762403229514984,1.1886068434376038,0.817533244391949,1.2331984835486152
8.665429132248086,1.375510819922273,0.8268304180784792,1.2348870696606498
8.533291405029773,1.486831217039177,0.8346334248345103,1.238359017557472
8.461825555246461,1.6740377925271865,0.8359169971618802,1.2276366629466853
8.252428447210464,1.8696460020464845,0.8470954052326148,1.227243411052438
8.151954921474744,2.0174244010972338,0.8513183928924338,1.210294345188923
8.001388211728663,2.1054054557972077,0.8414286347823139,1.1937079924898286
7.8663006242197175,2.223315732605225,0.8420657924176325,1.1738056652610394
7.826467561855066,2.3353859599498095,0.8294886682855374,1.154789074023683
7.653484588181711,2.4653047342054655,0.8396297440380599,1.1487000622669095
7.501979488731667,2.5079964695081824,0.8541662896907962,1.1376432491225845
7.343487248193631,2.6723219777126657,0.8618821431586203,1.1316159572105131
7.199283029704329,2.757437677719764,0.8733169814226173,1.1262860914386776
7.063298645102978,2.9012910781854138,0.8780931296110918,1.1244213144444921
6.925550058211939,2.954398211753598,0.8879581958883179,1.1219612550992384
6.890044950561599,3.112703219943159,0.8984706707403468,1.1125010459959233
6.8370894551911645,3.2293489717667083,0.9091277993262068,1.1075487249688019
6.7344219365419615,3.363161875100022,0.9162423249123368,1.1048787807715517
6.614604431946104,3.48622654337231,0.9159447697419297,1.110974381213566
6.469560500684474,3.6281149553249947,0.9096778637299846,1.0964357136071559
6.378264282839272,3.589660559354831,0.9075504180654803,1.0787153820422886
6.227474418937913,3.6963902638113826,0.9205256722483621,1.0730899733110277
6.047395359629152,3.6392980777508006,0.9445753071524176,1.0552889209172613
5.927448355721,3.7704350280936207,0.9524302653206325,1.0477023492560078
5.8403917149973354,3.8276285504439898,0.9705213679962092,1.0202796262812037
5.660207638685898,3.854008217050739,0.97409964471164,0.9983547745926558
5.546468113665407,3.9256735076250693,0.9801125160923413,0.98562195339593
5.569786398176292,4.111486324480825,0.9891019122462331,0.9806895445534828
5.518670082559248,4.320097641298126,1.0018604779790412,0.9900565660472239
5.40195495319526,4.4862066085114165,1.01448179466961,0.9981683172247436
5.42738712779857,4.773667853135457,1.0232396462495543,1.0003037451785382
5.373304527377752,4.859637609064932,1.034893058898449,0.9960507624015935
5.283686127274077,4.927425310374423,1.0516998292641042,0.9954507688517041
5.163179541796826,5.081274308718694,1.0767204627878402,0.9756690495427762
5.000231602721995,5.101856511893419,1.1000244694477777,0.9570876595788097
4.877989453606027,5.198189543552359,1.1097811489960647,0.9537339770047388
4.816786439911079,5.1968493779859575,1.1123691390858363,0.9106389910843761
4.588383624599548,5.143519684196145,1.0906975135461268,0.905551187444691
4.45449561265871,5.2511335930233445,1.0764089649229116,0.8956188973554802
