t,A,B,E1,AE1
0.0,9.876810650583534,0.4230750760485518,0.7262536419443392,1.2189404390646548
0.010025062656641603,9.733678326994001,-0.38810680100094985,0.7341711783660315,1.2602609098218802
0.020050125313283207,9.893569708675269,0.21039098599919165,0.6738646058291524,1.3429035856777238
0.03007518796992481,9.734520720200127,0.30239780831899465,0.7080390001197528,1.241987307291097
0.040100250626566414,10.480561941871885,0.1771798649206807,0.7131759600238555,1.2676120089736949
0.05012531328320802,9.620602558479105,-0.17828008850445892,0.7795708595882586,1.1893936531240896
0.06015037593984962,9.667587117294612,0.8411357790961065,0.7006057466406007,1.3670752096510557
0.07017543859649122,9.684761445040655,0.39013092206615035,0.7455865377683509,1.245395344643702
0.08020050125313283,9.410760607302375,0.6442922161029989,0.704104259274739,1.2441618825001295
0.09022556390977443,9.549060983128003,0.09575485068762463,0.7269355037985874,1.2194580038360996
0.10025062656641603,9.092910137037435,0.8332320162296072,0.6789553182096242,1.1828933754812743
0.11027568922305764,9.35248326287909,0.9106893363014872,0.76723150816457,1.211720108231281
0.12030075187969924,9.420118909636898,0.8146255995943539,0.7801602258514035,1.2633358317221561
0.13032581453634084,8.731339590035473,0.6338036413070484,0.8208444777064108,1.2088063673841805
0.14035087719298245,8.754299860273514,0.6317787776920455,0.770313359075536,1.2786024778476717
0.15037593984962405,9.481292850779807,1.1694962605679975,0.7476224525290065,1.1878358624184795
0.16040100250626566,9.325753559552286,1.3713799313001505,0.7948080273365088,1.2242107872276644
0.17042606516290726,8.903488826105704,1.0798619180687732,0.7023852249038854,1.261437564590363
0.18045112781954886,9.314005513342268,0.988643573219055,0.8182136540317084,1.206200636586598
0.19047619047619047,8.617246533433242,1.4303144947707884,0.7298828587282779,1.166688772194741
0.20050125313283207,8.89748460082831,1.8320561092953382,0.8047120210286574,1.2578720004766442
0.21052631578947367,9.084246997705092,1.0102825207672874,0.7617810136052505,1.2330103863602766
0.22055137844611528,8.564036696265461,1.2009993625286421,0.7474973558790813,1.204746373308387
0.23057644110275688,9.08251379660612,1.8095118404372599,0.7602315192703365,1.2122674171461167
0.24060150375939848,8.349693022772122,1.1731845349963677,0.7648123147462331,1.2469992856007988
0.2506265664160401,8.57741764299787,1.5415160743377476,0.7409477873841923,1.2237086338592624
0.2606516290726817,8.412112301368062,1.310384141208981,0.7430884384964828,1.19407975326957
0.2706766917293233,8.676927718960394,1.1843605397347565,0.8184425790539274,1.1586996181013973
