gen_1,gen_2,term_1,term_2,load_1,load_2
0,0,10.516,0,0,0
0,0,0,22.255,0,0
10.516,0,0,0,19.64,26.311
0,22.255,0,0,27.141,15.697
0,0,19.64,27.141,0,0
0,0,26.311,15.697,0,0
