gen_1,gen_2,term_1,term_2,load_1,load_2
-3.1416,0,0,0,0,0
0,-3.1416,0,0,0,0
0,0,-2.9782,0,0.1974,0.1974
0,0,0,-3.0062,0.1974,0.1974
0,0,0.1974,0.1974,-2.9438,0
0,0,0.1974,0.1974,0,-2.9437
