gen_1,gen_2,term_1,term_2,load_1,load_2
-3.1416,0,0,0,0,0
0,-3.1416,0,0,0,0
0,0,-3.1416,0,0,0
0,0,0,-3.1416,0,0
0,0,0,0,-3.1416,0
0,0,0,0,0,-3.1416
