gen_1,gen_2,term_1,term_2,load_1,load_2
0,0,10.972,0,0,0
0,0,0,22.126,0,0
10.972,0,0,0,19.114,25.543
0,22.126,0,0,26.414,15.239
0,0,19.114,26.414,0,0
0,0,25.543,15.239,0,0
