Frame,X,Y
479,1081,636
480,1081,645
481,1077,654
482,1077,656
483,1071,677
484,1070,688
485,1064,705
486,1055,729
487,1055,737
488,1043,755
489,1039,769
490,1033,781
491,1013,807
492,1001,826
493,985,847
494,968,870
495,951,887
496,931,906
497,909,924
498,885,942
499,848,965
500,836,970
501,809,983
502,777,996
503,748,1007
504,719,1015
505,686,1021
506,652,1026
507,623,1024
508,587,1027
509,552,1025
510,503,1016
511,492,1012
512,460,1001
513,432,991
514,401,977
515,377,963
516,352,947
517,325,932
518,304,913
519,274,884
520,257,868
521,248,854
522,234,836
523,222,817
524,216,808
525,200,780
526,190,760
527,182,742
528,175,728
529,169,711
530,163,696
531,160,681
532,159,671
533,153,657
534,154,646
535,152,639
536,147,630
537,148,624
538,147,616
539,142,614
540,146,614
541,143,609
542,143,608
543,143,610
544,146,612
545,146,615
546,146,619
547,146,626
548,149,632
549,152,638
550,151,649
551,154,661
552,155,672
553,161,687
554,163,700
555,170,716
556,176,732
557,186,750
558,191,767
559,200,786
560,206,793
561,223,823
562,237,843
563,256,864
564,271,879
565,290,900
566,324,928
567,333,936
568,361,951
569,386,970
570,415,984
571,440,993
572,488,1008
573,520,1018
574,535,1021
575,550,1024
576,598,1026
577,648,1026
578,665,1024
579,695,1020
580,727,1014
581,758,1002
582,788,994
583,818,982
584,857,961
585,885,943
586,894,935
587,919,917
588,937,900
589,957,880
590,976,860
591,985,850
592,1007,821
593,1012,814
594,1034,775
595,1039,765
596,1046,751
597,1053,731
598,1061,705
599,1064,699
600,1070,688
601,1073,672
602,1077,659
603,1079,648
604,1080,641
605,1081,633
606,1082,624
607,1081,623
608,1087,618
609,1085,614
610,1085,610
611,1085,609
612,1085,609
613,1085,612
614,1083,612
615,1083,618
616,1081,624
617,1081,632
618,1081,640
619,1081,650
620,1078,660
621,1072,671
622,1070,682
623,1064,698
624,1062,712
625,1056,721
626,1048,744
627,1039,764
628,1031,779
629,1020,796
630,1008,820
631,994,840
632,968,868
633,959,879
634,940,896
635,922,914
636,889,940
637,878,948
638,852,964
639,833,975
640,794,991
641,764,1003
642,736,1013
643,704,1020
644,657,1025
645,640,1026
646,606,1026
647,569,1026
648,543,1022
649,509,1016
650,481,1008
651,449,996
652,436,992
653,390,971
654,366,959
655,338,939
656,304,912
657,293,902
658,278,885
659,261,868
660,243,847
661,222,818
662,214,807
663,203,789
664,193,769
665,182,752
666,184,745
667,169,720
668,165,706
669,160,692
670,160,692
671,161,692
672,161,692
673,161,692
674,161,692
675,161,692
676,161,692
677,161,692
678,161,692
679,161,692
680,161,692
681,161,692
682,161,692
683,161,692
684,161,692
685,161,692
686,161,692
687,161,692
688,159,690
689,159,690
690,159,690
691,159,690
692,159,690
693,159,690
694,159,690
695,159,690
696,159,690
697,159,690
698,159,690
699,159,690
700,159,690
701,159,690
702,159,690
703,159,690
704,159,690
705,159,690
706,159,690
707,159,690
708,159,690
709,159,690
710,159,690
711,159,690
712,159,690
713,159,690
714,159,690
715,159,690
716,159,690
717,159,690
718,159,690
719,159,690
720,159,690
721,159,690
722,159,690
723,159,690
724,159,690
725,159,690
