t,X,Y
0.016666666666666666,744,1151
0.03333333333333333,736,1144
0.05,714,1130
0.06666666666666667,710,1128
0.08333333333333333,705,1129
0.1,703,1126
0.11666666666666667,697,1126
0.13333333333333333,697,1124
0.15,695,1120
0.16666666666666666,696,1120
0.18333333333333332,696,1119
0.2,696,1120
0.21666666666666667,696,1120
0.23333333333333334,697,1122
0.25,698,1126
0.26666666666666666,698,1126
0.2833333333333333,703,1127
0.3,708,1128
0.31666666666666665,711,1130
0.3333333333333333,717,1134
0.35,720,1136
0.36666666666666664,728,1141
0.3833333333333333,736,1144
0.4,744,1148
0.4166666666666667,746,1149
0.43333333333333335,759,1154
0.45,762,1156
0.4666666666666667,776,1160
0.48333333333333334,788,1166
0.5,790,1168
0.5166666666666666,809,1172
0.5333333333333333,821,1174
0.55,831,1176
0.5666666666666667,839,1179
0.5833333333333334,854,1184
0.6,866,1188
0.6166666666666667,880,1189
0.6333333333333333,887,1190
0.65,906,1192
0.6666666666666666,920,1191
0.6833333333333333,928,1193
0.7,948,1192
0.7166666666666667,959,1193
0.7333333333333333,973,1193
0.75,984,1193
0.7666666666666666,998,1192
0.7833333333333333,1010,1189
0.8,1024,1188
0.8166666666666667,1036,1186
0.8333333333333334,1048,1185
0.85,1056,1182
0.8666666666666667,1066,1178
0.8833333333333333,1082,1174
0.9,1092,1169
0.9166666666666666,1104,1169
0.9333333333333333,1113,1165
0.95,1119,1162
0.9666666666666667,1128,1158
0.9833333333333333,1136,1152
1.0,1140,1153
1.0166666666666666,1150,1147
1.0333333333333332,1159,1146
1.05,1164,1144
1.0666666666666667,1167,1142
1.0833333333333333,1169,1137
1.1,1175,1132
1.1166666666666667,1177,1130
1.1333333333333333,1183,1128
1.15,1183,1129
1.1666666666666667,1186,1129
1.1833333333333333,1186,1128
1.2,1186,1127
1.2166666666666666,1186,1127
1.2333333333333334,1186,1127
1.25,1185,1128
1.2666666666666666,1184,1127
1.2833333333333332,1183,1129
1.3,1178,1131
1.3166666666666667,1176,1134
1.3333333333333333,1175,1137
1.35,1168,1138
1.3666666666666667,1164,1141
1.3833333333333333,1154,1146
1.4,1153,1151
1.4166666666666667,1146,1151
1.4333333333333333,1138,1153
1.45,1129,1157
1.4666666666666666,1115,1160
1.4833333333333334,1110,1164
1.5,1103,1164
1.5166666666666666,1090,1171
1.5333333333333332,1086,1171
1.55,1074,1175
1.5666666666666667,1062,1176
1.5833333333333333,1050,1183
1.6,1044,1183
1.6166666666666667,1032,1185
1.6333333333333333,1016,1188
1.65,1000,1189
1.6666666666666667,991,1192
1.6833333333333333,976,1192
1.7,966,1192
1.7166666666666666,960,1193
1.7333333333333334,940,1193
1.75,928,1192
1.7666666666666666,911,1193
1.7833333333333332,903,1190
1.8,896,1188
1.8166666666666667,879,1188
1.8333333333333333,864,1186
1.8499999999999999,856,1184
1.8666666666666667,848,1181
1.8833333333333333,830,1177
1.9,825,1176
1.9166666666666667,811,1174
1.9333333333333333,802,1171
1.95,793,1169
1.9666666666666666,781,1163
1.9833333333333334,776,1161
2.0,770,1160
2.0166666666666666,767,1158
2.033333333333333,757,1153
2.05,750,1153
2.0666666666666664,741,1147
2.0833333333333335,735,1143
2.1,732,1142
2.1166666666666667,729,1141
2.1333333333333333,726,1138
2.15,721,1137
2.1666666666666665,720,1135
2.183333333333333,720,1135
2.2,716,1135
2.216666666666667,716,1135
2.2333333333333334,717,1135
2.25,712,1135
2.2666666666666666,718,1135
2.283333333333333,720,1136
2.3,719,1135
2.3166666666666664,721,1136
2.3333333333333335,726,1140
2.35,732,1144
2.3666666666666667,733,1141
2.3833333333333333,737,1145
2.4,746,1148
2.4166666666666665,748,1149
2.433333333333333,760,1154
2.45,763,1156
2.466666666666667,771,1158
2.4833333333333334,779,1164
2.5,783,1164
2.5166666666666666,794,1168
2.533333333333333,805,1170
2.55,813,1172
2.5666666666666664,824,1176
2.5833333333333335,839,1180
2.6,847,1183
2.6166666666666667,857,1184
2.6333333333333333,870,1188
2.65,879,1189
2.6666666666666665,887,1188
2.683333333333333,896,1192
2.7,914,1193
2.716666666666667,928,1193
2.7333333333333334,938,1193
2.75,948,1193
2.7666666666666666,967,1193
2.783333333333333,976,1192
2.8,985,1192
2.8166666666666664,994,1192
2.8333333333333335,1001,1188
2.85,1012,1188
2.8666666666666667,1032,1185
2.8833333333333333,1041,1184
2.9,1052,1181
2.9166666666666665,1058,1180
2.933333333333333,1066,1176
2.95,1082,1172
2.966666666666667,1090,1172
2.9833333333333334,1095,1170
3.0,1105,1164
3.0166666666666666,1112,1164
3.033333333333333,1119,1161
3.05,1120,1159
3.0666666666666664,1129,1158
3.0833333333333335,1136,1155
3.1,1141,1152
3.1166666666666667,1146,1150
3.1333333333333333,1152,1148
3.15,1152,1144
3.1666666666666665,1160,1144
3.183333333333333,1161,1143
3.2,1164,1142
3.216666666666667,1166,1140
3.2333333333333334,1165,1141
3.25,1167,1141
3.2666666666666666,1167,1141
3.283333333333333,1167,1142
3.3,1167,1139
3.3166666666666664,1160,1142
3.3333333333333335,1160,1143
3.35,1159,1144
3.3666666666666667,1158,1146
3.3833333333333333,1151,1147
3.4,1144,1148
3.4166666666666665,1140,1152
3.433333333333333,1137,1153
3.4499999999999997,1131,1155
3.466666666666667,1125,1158
3.4833333333333334,1120,1159
3.5,1112,1163
3.5166666666666666,1105,1164
3.533333333333333,1094,1167
3.55,1088,1171
3.5666666666666664,1077,1175
3.5833333333333335,1070,1176
3.6,1061,1180
3.6166666666666667,1047,1182
3.6333333333333333,1038,1184
3.65,1024,1187
3.6666666666666665,1017,1188
3.683333333333333,1000,1189
3.6999999999999997,997,1190
3.716666666666667,984,1192
3.7333333333333334,973,1192
3.75,961,1192
3.7666666666666666,945,1192
3.783333333333333,939,1193
3.8,928,1192
3.8166666666666664,918,1192
3.8333333333333335,899,1191
3.85,889,1190
3.8666666666666667,884,1189
3.8833333333333333,873,1189
3.9,863,1185
3.9166666666666665,848,1182
3.933333333333333,841,1182
3.9499999999999997,834,1181
3.966666666666667,825,1175
3.9833333333333334,816,1174
4.0,804,1169
4.016666666666667,795,1168
4.033333333333333,788,1164
4.05,782,1163
4.066666666666666,777,1162
4.083333333333333,771,1161
4.1,766,1156
4.116666666666666,760,1155
4.133333333333333,754,1151
4.15,751,1152
4.166666666666667,745,1148
4.183333333333334,745,1148
4.2,741,1147
4.216666666666667,741,1147
4.233333333333333,739,1145
4.25,736,1145
4.266666666666667,738,1144
4.283333333333333,737,1145
4.3,737,1144
4.316666666666666,736,1145
4.333333333333333,738,1145
4.35,743,1149
4.366666666666666,744,1149
4.383333333333333,746,1149
4.4,751,1150
4.416666666666667,753,1151
4.433333333333334,760,1156
4.45,760,1157
4.466666666666667,766,1159
4.483333333333333,775,1159
4.5,785,1164
4.516666666666667,791,1167
4.533333333333333,796,1169
4.55,803,1170
4.566666666666666,810,1172
4.583333333333333,821,1175
4.6,832,1180
4.616666666666666,843,1182
4.633333333333333,849,1182
4.65,856,1183
4.666666666666667,864,1188
4.683333333333334,881,1189
4.7,887,1188
4.716666666666667,896,1189
4.733333333333333,912,1192
4.75,923,1192
4.766666666666667,930,1192
4.783333333333333,941,1192
4.8,951,1192
4.816666666666666,964,1192
4.833333333333333,978,1192
4.85,989,1192
4.866666666666666,993,1192
4.883333333333333,1006,1189
4.9,1022,1188
4.916666666666667,1026,1188
4.933333333333334,1036,1185
4.95,1045,1183
4.966666666666667,1059,1180
4.983333333333333,1066,1179
5.0,1071,1176
5.016666666666667,1079,1174
5.033333333333333,1088,1172
5.05,1094,1169
5.066666666666666,1104,1164
5.083333333333333,1110,1164
5.1,1113,1164
5.116666666666666,1120,1160
5.133333333333333,1123,1161
5.15,1128,1157
5.166666666666667,1134,1155
5.183333333333334,1135,1153
5.2,1140,1152
5.216666666666667,1142,1151
5.233333333333333,1144,1151
5.25,1144,1149
5.266666666666667,1145,1149
5.283333333333333,1145,1149
5.3,1145,1149
5.316666666666666,1146,1149
