t,X,Y
0.008356685348278622,960,540
0.025070056044835864,362,258
0.03342674139311449,344,270
0.04178342674139311,364,297
0.05014011208967173,364,332
0.05849679743795035,371,341
0.06685348278622898,377,370
0.0752101681345076,388,382
0.08356685348278622,403,414
0.09192353883106484,438,469
0.10028022417934346,461,497
0.10863690952762209,488,532
0.1169935948759007,518,549
0.12535028022417932,553,586
0.13370696557245795,574,613
0.14206365092073658,595,638
0.1504203362690152,700,667
0.15877702161729382,736,707
0.16713370696557245,790,731
0.17549039231385105,847,748
0.18384707766212968,908,755
0.1922037630104083,970,762
0.20056044835868692,1030,739
0.20891713370696555,1090,762
0.21727381905524418,1152,751
0.2256305044035228,1214,730
0.2339871897518014,1264,707
0.24234387510008004,1322,681
0.25070056044835864,1362,654
0.2590572457966373,1405,624
0.2674139311449159,1444,593
0.2757706164931945,1476,559
0.28412730184147317,1505,525
0.29248398718975177,1529,491
0.3008406725380304,1550,459
0.30919735788630903,1567,428
0.31755404323458764,1583,400
0.32591072858286624,1593,374
0.3342674139311449,1598,350
0.3426240992794235,1606,331
0.3509807846277021,1611,314
0.35933746997598076,1615,300
0.36769415532425936,1618,290
0.37605084067253797,1616,284
0.3844075260208166,1617,281
0.39276421136909523,1618,281
0.40112089671737383,1616,286
0.4094775820656525,1615,293
0.4178342674139311,1611,305
0.42619095276220975,1607,319
0.43454763811048835,1602,338
0.44290432345876696,1596,362
0.4512610088070456,1586,385
0.4596176941553242,1573,412
0.4679743795036028,1557,442
0.4763310648518815,1538,474
0.4846877502001601,1516,508
0.4930444355484387,1489,543
0.5014011208967173,1457,577
0.5097578062449959,1422,611
0.5181144915932746,1381,641
0.5264711769415532,1343,672
0.5348278622898318,1285,702
0.5431845476381104,1233,723
0.551541232986389,1175,741
0.5598979183346677,1115,754
0.5682546036829463,1054,762
0.5766112890312249,994,771
0.5849679743795035,935,760
0.5933246597277821,875,752
0.6016813450760607,817,738
0.6100380304243395,761,721
0.6183947157726181,716,699
0.6267514011208967,689,655
0.6351080864691753,584,628
0.6434647718174539,564,611
0.6518214571657325,538,582
0.6601781425140112,507,555
0.6685348278622898,479,523
0.6768915132105684,456,491
0.685248198558847,437,461
0.6936048839071256,418,432
0.7019615692554042,405,406
0.7103182546036829,394,381
0.7186749399519615,385,363
0.7270316253002401,381,341
0.7353883106485187,378,329
0.7437449959967973,363,294
0.7521016813450759,362,289
0.7604583666933546,361,267
0.7688150520416333,362,266
0.7771717373899119,362,267
0.7855284227381905,364,289
0.7938851080864691,367,303
0.8022417934347477,382,357
0.8105984787830264,386,357
0.818955164131305,392,379
0.8273118494795836,401,398
0.8356685348278622,416,424
0.8440252201761408,432,452
0.8523819055244195,452,483
0.8607385908726981,475,517
0.8690952762209767,502,549
0.8774519615692553,534,582
0.8858086469175339,562,615
0.8941653322658125,582,626
0.9025220176140912,688,669
0.9108787029623698,714,694
0.9192353883106484,757,720
0.927592073658927,812,737
0.9359487590072056,870,751
0.9443054443554842,930,760
0.952662129703763,990,764
0.9610188150520416,1049,764
0.9693755004003202,1110,756
0.9777321857485988,1169,746
0.9860888710968774,1227,724
0.994445556445156,1278,703
1.0028022417934346,1329,676
1.0111589271417132,1372,650
1.0195156124899918,1414,617
1.0278722978382706,1450,587
1.0362289831865492,1482,554
1.0445856685348278,1510,521
1.0529423538831064,1533,488
1.061299039231385,1553,457
1.0696557245796636,1569,428
1.0780124099279422,1582,401
1.0863690952762208,1591,376
1.0947257806244994,1599,355
1.103082465972778,1605,336
1.1114391513210566,1610,321
1.1197958366693355,1612,309
1.128152522017614,1614,300
1.1365092073658927,1613,295
1.1448658927141713,1610,294
1.1532225780624499,1609,296
1.1615792634107285,1606,301
1.169935948759007,1604,310
1.1782926341072857,1600,324
1.1866493194555643,1595,340
1.195006004803843,1589,359
1.2033626901521215,1584,382
1.2117193755004,1572,408
1.220076060848679,1557,435
1.2284327461969575,1540,465
1.2367894315452361,1520,498
1.2451461168935147,1495,531
1.2535028022417933,1467,565
1.261859487590072,1435,598
1.2702161729383505,1398,630
1.2785728582866291,1355,660
1.2869295436349077,1316,684
1.2952862289831863,1257,710
1.303642914331465,1205,733
1.3119995996797436,1145,749
1.3203562850280224,1085,765
1.328712970376301,1024,748
1.3370696557245796,967,769
1.3454263410728582,907,755
1.3537830264211368,849,745
1.3621397117694154,794,730
1.370496397117694,740,713
1.3788530824659726,704,686
1.3872097678142512,598,639
1.3955664531625298,577,635
1.4039231385108084,558,606
1.4122798238590872,529,576
1.4206365092073658,498,546
1.4289931945556444,473,515
1.437349879903923,452,483
1.4457065652522016,455,452
1.4540632506004803,420,428
1.4624199359487589,405,403
1.4707766212970375,394,381
1.479133306645316,386,365
1.4874899919935947,389,353
1.4958466773418733,389,333
1.5042033626901519,390,324
1.5125600480384307,379,319
1.5209167333867093,381,316
1.529273418734988,379,317
1.5376301040832665,383,322
1.545986789431545,386,331
1.5543434747798237,390,343
1.5627001601281023,393,361
1.571056845476381,398,377
1.5794135308246595,404,400
1.5877702161729381,415,425
1.5961269015212167,432,452
1.6044835868694953,452,481
1.6128402722177742,474,512
1.6211969575660528,499,545
1.6295536429143314,529,577
1.63791032826261,558,609
1.6462670136108886,578,639
1.6546236989591672,683,647
1.6629803843074458,706,671
1.6713370696557244,742,714
1.679693755004003,795,733
1.6880504403522816,851,746
1.6964071257005602,910,755
1.704763811048839,970,762
1.7131204963971176,1027,738
1.7214771817453962,1086,754
1.7298338670936748,1145,745
1.7381905524419534,1205,731
1.746547237790232,1256,711
1.7549039231385106,1312,683
1.7632606084867892,1350,663
1.7716172938350678,1394,632
1.7799739791833464,1432,602
1.788330664531625,1464,571
1.7966873498799036,1494,531
1.8050440352281825,1520,508
1.813400720576461,1541,477
1.8217574059247397,1557,447
1.8301140912730183,1572,420
1.8384707766212969,1584,395
1.8468274619695755,1593,372
1.855184147317854,1599,354
1.8635408326661327,1603,339
1.8718975180144113,1607,325
1.88025420336269,1605,316
1.8886108887109685,1605,310
1.8969675740592473,1605,308
1.905324259407526,1605,309
1.9136809447558045,1602,313
1.9220376301040831,1600,322
1.9303943154523617,1596,335
1.9387510008006403,1591,349
1.947107686148919,1586,367
1.9554643714971975,1578,389
1.9638210568454761,1565,413
1.9721777421937547,1550,440
1.9805344275420333,1532,469
1.988891112890312,1512,500
1.9972477982385908,1489,533
2.005604483586869,1462,566
2.0139611689351478,1429,596
2.0223178542834264,1393,626
2.030674539631705,1351,660
2.0390312249799836,1316,684
2.0473879103282626,1260,709
2.055744595676541,1208,731
2.06410128102482,1150,753
2.0724579663730984,1090,754
2.080814651721377,1033,740
2.0891713370696556,976,761
2.0975280224179342,918,756
2.105884707766213,860,745
2.1142413931144914,804,732
2.12259807846277,752,719
2.1309547638110486,712,690
